geoid,name,median,median_annotation,median_moe,median_moe_annotation,state,county
36005,"Bronx County, New York",34299.0,,495.0,,36,005
36047,"Kings County, New York",48201.0,,419.0,,36,047
36081,"Queens County, New York",57720.0,,552.0,,36,081
36061,"New York County, New York",72871.0,,1113.0,,36,061
36085,"Richmond County, New York",73197.0,,1178.0,,36,085
