geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,in_labor_force,in_labor_force_annotation,in_labor_force_moe,in_labor_force_moe_annotation,civilian,civilian_annotation,civilian_moe,civilian_moe_annotation,civilian_employed,civilian_employed_annotation,civilian_employed_moe,civilian_employed_moe_annotation,civilian_unemployed,civilian_unemployed_annotation,civilian_unemployed_moe,civilian_unemployed_moe_annotation,armed_forces,armed_forces_annotation,armed_forces_moe,armed_forces_moe_annotation,not_in_labor_force,not_in_labor_force_annotation,not_in_labor_force_moe,not_in_labor_force_moe_annotation,county,state
36005,"Bronx County, New York",1109748.0,,921.0,,659777.0,,3925.0,,659512.0,,3908.0,,575974.0,,4386.0,,83538.0,,2214.0,,265.0,,162.0,,449971.0,,3842.0,,005,36
36047,"Kings County, New York",2062418.0,,899.0,,1311082.0,,4139.0,,1310417.0,,4119.0,,1192489.0,,4461.0,,117928.0,,2449.0,,665.0,,156.0,,751336.0,,4152.0,,047,36
36061,"New York County, New York",1418972.0,,758.0,,959120.0,,4221.0,,958676.0,,4233.0,,892817.0,,4732.0,,65859.0,,2518.0,,444.0,,188.0,,459852.0,,4315.0,,061,36
36081,"Queens County, New York",1888346.0,,895.0,,1215483.0,,4127.0,,1214854.0,,4100.0,,1120583.0,,3921.0,,94271.0,,1970.0,,629.0,,158.0,,672863.0,,4202.0,,081,36
36085,"Richmond County, New York",380311.0,,459.0,,223845.0,,2063.0,,223630.0,,2053.0,,209754.0,,2045.0,,13876.0,,728.0,,215.0,,72.0,,156466.0,,2079.0,,085,36
