geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,in_labor_force,in_labor_force_annotation,in_labor_force_moe,in_labor_force_moe_annotation,civilian,civilian_annotation,civilian_moe,civilian_moe_annotation,civilian_employed,civilian_employed_annotation,civilian_employed_moe,civilian_employed_moe_annotation,civilian_unemployed,civilian_unemployed_annotation,civilian_unemployed_moe,civilian_unemployed_moe_annotation,armed_forces,armed_forces_annotation,armed_forces_moe,armed_forces_moe_annotation,not_in_labor_force,not_in_labor_force_annotation,not_in_labor_force_moe,not_in_labor_force_moe_annotation,county,state
36081,"Queens County, New York",1881607.0,,817.0,,1208871.0,,4091.0,,1208386.0,,4100.0,,1104930.0,,3936.0,,103456.0,,2582.0,,485.0,,132.0,,672736.0,,4181.0,,081,36
36085,"Richmond County, New York",378913.0,,438.0,,224772.0,,2090.0,,224499.0,,2073.0,,209113.0,,2054.0,,15386.0,,981.0,,273.0,,102.0,,154141.0,,2121.0,,085,36
36005,"Bronx County, New York",1102377.0,,968.0,,655728.0,,3389.0,,655467.0,,3401.0,,563903.0,,3322.0,,91564.0,,2382.0,,261.0,,143.0,,446649.0,,3396.0,,005,36
36047,"Kings County, New York",2051603.0,,925.0,,1297832.0,,4284.0,,1297115.0,,4290.0,,1167448.0,,4477.0,,129667.0,,2638.0,,717.0,,167.0,,753771.0,,4317.0,,047,36
36061,"New York County, New York",1414565.0,,898.0,,956468.0,,4752.0,,956034.0,,4742.0,,884457.0,,4655.0,,71577.0,,2531.0,,434.0,,173.0,,458097.0,,4814.0,,061,36
