geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,in_labor_force,in_labor_force_annotation,in_labor_force_moe,in_labor_force_moe_annotation,civilian,civilian_annotation,civilian_moe,civilian_moe_annotation,civilian_employed,civilian_employed_annotation,civilian_employed_moe,civilian_employed_moe_annotation,civilian_unemployed,civilian_unemployed_annotation,civilian_unemployed_moe,civilian_unemployed_moe_annotation,armed_forces,armed_forces_annotation,armed_forces_moe,armed_forces_moe_annotation,not_in_labor_force,not_in_labor_force_annotation,not_in_labor_force_moe,not_in_labor_force_moe_annotation,county,state
36005,"Bronx County, New York",1088692.0,,737.0,,645376.0,,4116.0,,645038.0,,4139.0,,548477.0,,4198.0,,96561.0,,3004.0,,338.0,,174.0,,443316.0,,4191.0,,005,36
36047,"Kings County, New York",2031461.0,,884.0,,1275057.0,,4625.0,,1274014.0,,4618.0,,1138762.0,,4420.0,,135252.0,,2907.0,,1043.0,,216.0,,756404.0,,4609.0,,047,36
36061,"New York County, New York",1405088.0,,676.0,,946981.0,,4907.0,,946480.0,,4921.0,,868961.0,,5073.0,,77519.0,,2432.0,,501.0,,212.0,,458107.0,,4848.0,,061,36
36081,"Queens County, New York",1865736.0,,811.0,,1197911.0,,3768.0,,1197419.0,,3765.0,,1083846.0,,3966.0,,113573.0,,2298.0,,492.0,,158.0,,667825.0,,3702.0,,081,36
36085,"Richmond County, New York",377471.0,,432.0,,224706.0,,1773.0,,224362.0,,1773.0,,207199.0,,1589.0,,17163.0,,889.0,,344.0,,115.0,,152765.0,,1770.0,,085,36
