geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,in_labor_force,in_labor_force_annotation,in_labor_force_moe,in_labor_force_moe_annotation,civilian,civilian_annotation,civilian_moe,civilian_moe_annotation,civilian_employed,civilian_employed_annotation,civilian_employed_moe,civilian_employed_moe_annotation,civilian_unemployed,civilian_unemployed_annotation,civilian_unemployed_moe,civilian_unemployed_moe_annotation,armed_forces,armed_forces_annotation,armed_forces_moe,armed_forces_moe_annotation,not_in_labor_force,not_in_labor_force_annotation,not_in_labor_force_moe,not_in_labor_force_moe_annotation,county,state
36005,"Bronx County, New York",1128491.0,,894.0,,672109.0,,3355.0,,671765.0,,3357.0,,593858.0,,3211.0,,77907.0,,2066.0,,344.0,,184.0,,456382.0,,3457.0,,005,36
36081,"Queens County, New York",1915787.0,,836.0,,1228111.0,,4128.0,,1227523.0,,4109.0,,1142363.0,,4033.0,,85160.0,,2260.0,,588.0,,173.0,,687676.0,,4253.0,,081,36
36047,"Kings County, New York",2088858.0,,966.0,,1325652.0,,4115.0,,1324952.0,,4161.0,,1217976.0,,4085.0,,106976.0,,2368.0,,700.0,,170.0,,763206.0,,4206.0,,047,36
36061,"New York County, New York",1437692.0,,681.0,,966564.0,,4491.0,,966160.0,,4473.0,,906389.0,,4591.0,,59771.0,,2274.0,,404.0,,203.0,,471128.0,,4519.0,,061,36
36085,"Richmond County, New York",383590.0,,375.0,,224926.0,,1735.0,,224697.0,,1730.0,,212253.0,,1668.0,,12444.0,,666.0,,229.0,,76.0,,158664.0,,1736.0,,085,36
