geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,county,state
36005,"Bronx County, New York",1413566.0,,-555555555.0,*****,005,36
36047,"Kings County, New York",2570801.0,,-555555555.0,*****,047,36
36061,"New York County, New York",1618398.0,,-555555555.0,*****,061,36
36081,"Queens County, New York",2280602.0,,-555555555.0,*****,081,36
36085,"Richmond County, New York",471522.0,,-555555555.0,*****,085,36
