geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,county,state
36005,"Bronx County, New York",1428357.0,,-555555555.0,*****,005,36
36047,"Kings County, New York",2595259.0,,-555555555.0,*****,047,36
36061,"New York County, New York",1629507.0,,-555555555.0,*****,061,36
36081,"Queens County, New York",2301139.0,,-555555555.0,*****,081,36
36085,"Richmond County, New York",472481.0,,-555555555.0,*****,085,36
