geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,county
36005,"Bronx County, New York",1455846.0,,-555555555.0,*****,36,005
36047,"Kings County, New York",2635121.0,,-555555555.0,*****,36,047
36061,"New York County, New York",1653877.0,,-555555555.0,*****,36,061
36081,"Queens County, New York",2339280.0,,-555555555.0,*****,36,081
36085,"Richmond County, New York",475948.0,,-555555555.0,*****,36,085
