geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,county
36005,"Bronx County, New York",1436785.0,,-555555555.0,*****,36,005
36047,"Kings County, New York",2606852.0,,-555555555.0,*****,36,047
36061,"New York County, New York",1634989.0,,-555555555.0,*****,36,061
36081,"Queens County, New York",2310011.0,,-555555555.0,*****,36,081
36085,"Richmond County, New York",473324.0,,-555555555.0,*****,36,085
